(Burst #:Message #),NTP Timestamp
(0:0),3856050177.33
(0:1),3856050177.34
(0:2),3856050177.341
(0:3),3856050177.342
(0:4),3856050177.342
(0:5),3856050177.343
(0:6),3856050177.343
(0:7),3856050177.343
(10:0),3856050216.7539997
(10:1),3856050216.755
(10:2),3856050216.755
(10:3),3856050216.756
(10:4),3856050216.756
(10:5),3856050216.757
(10:6),3856050216.758
(10:7),3856050216.758
(11:0),3856050220.762
(11:1),3856050220.762
(11:2),3856050220.764
(11:3),3856050220.764
(11:4),3856050220.7650003
(11:5),3856050220.7650003
(11:6),3856050220.766
(11:7),3856050220.767
(12:0),3856050224.999
(12:1),3856050225.002
(12:2),3856050225.0030003
(12:3),3856050225.0039997
(12:4),3856050225.005
(12:5),3856050225.005
(12:6),3856050225.006
(12:7),3856050225.007
(13:0),3856050228.769
(13:1),3856050228.773
(13:2),3856050228.774
(13:3),3856050228.775
(13:4),3856050228.776
(13:5),3856050228.777
(13:6),3856050228.778
(13:7),3856050228.7790003
(14:0),3856050233.043
(14:1),3856050233.047
(14:2),3856050233.049
(14:3),3856050233.05
(14:4),3856050233.05
(14:5),3856050233.051
(14:6),3856050233.052
(14:7),3856050233.053
(1:0),3856050180.73
(1:1),3856050180.73
(1:2),3856050180.731
(1:3),3856050180.7320004
(1:4),3856050180.733
(1:5),3856050180.733
(1:6),3856050180.733
(1:7),3856050180.734
(2:0),3856050184.906
(2:1),3856050184.906
(2:2),3856050184.907
(2:3),3856050184.907
(2:4),3856050184.908
(2:5),3856050184.908
(2:6),3856050184.909
(2:7),3856050184.91
(3:0),3856050188.814
(3:1),3856050188.814
(3:2),3856050188.815
(3:3),3856050188.815
(3:4),3856050188.817
(3:5),3856050188.821
(3:6),3856050188.822
(3:7),3856050188.822
(4:0),3856050192.807
(4:1),3856050192.808
(4:2),3856050192.809
(4:3),3856050192.81
(4:4),3856050192.8120003
(4:5),3856050192.814
(4:6),3856050192.815
(4:7),3856050192.818
(5:0),3856050196.815
(5:1),3856050196.843
(5:2),3856050196.8459997
(5:3),3856050196.847
(5:4),3856050196.848
(5:5),3856050196.85
(5:6),3856050196.852
(5:7),3856050196.8529997
(6:0),3856050200.832
(6:1),3856050200.834
(6:2),3856050200.8389997
(6:3),3856050200.841
(6:4),3856050200.843
(6:5),3856050200.8459997
(6:6),3856050200.849
(6:7),3856050200.851
(7:0),3856050204.79
(7:1),3856050204.792
(7:2),3856050204.793
(7:3),3856050204.8
(7:4),3856050204.802
(7:5),3856050204.8050003
(7:6),3856050204.808
(7:7),3856050204.81
(8:0),3856050208.865
(8:1),3856050208.865
(8:2),3856050208.866
(8:3),3856050208.866
(8:4),3856050208.867
(8:5),3856050208.868
(8:6),3856050208.868
(8:7),3856050208.869
(9:0),3856050212.751
(9:1),3856050212.756
(9:2),3856050212.757
(9:3),3856050212.758
(9:4),3856050212.759
(9:5),3856050212.76
(9:6),3856050212.7609997
(9:7),3856050212.7609997
