(Burst #:Message #),NTP Timestamp
(0:0),2208988800
(0:1),3856050303.165
(0:2),3856050303.165
(0:3),3856050303.166
(0:4),3856050303.166
(0:5),3856050303.166
(0:6),3856050303.166
(0:7),3856050303.166
(10:0),2208988800
(10:1),3856050343.1940002
(10:2),3856050343.1940002
(10:3),3856050343.1940002
(10:4),3856050343.1940002
(10:5),3856050343.1940002
(10:6),3856050343.1940002
(10:7),3856050343.1940002
(11:0),2208988800
(11:1),3856050347.198
(11:2),3856050347.198
(11:3),3856050347.198
(11:4),3856050347.198
(11:5),3856050347.198
(11:6),3856050347.198
(11:7),3856050347.198
(12:0),2208988800
(12:1),3856050351.201
(12:2),3856050351.201
(12:3),3856050351.201
(12:4),3856050351.201
(12:5),3856050351.201
(12:6),3856050351.201
(12:7),3856050351.201
(13:0),2208988800
(13:1),3856050355.2019997
(13:2),3856050355.2019997
(13:3),3856050355.2019997
(13:4),3856050355.2019997
(13:5),3856050355.2019997
(13:6),3856050355.2019997
(13:7),3856050355.2019997
(14:0),2208988800
(14:1),3856050359.205
(14:2),3856050359.205
(14:3),3856050359.205
(14:4),3856050359.205
(14:5),3856050359.205
(14:6),3856050359.205
(14:7),3856050359.205
(1:0),2208988800
(1:1),3856050307.166
(1:2),3856050307.166
(1:3),3856050307.166
(1:4),3856050307.166
(1:5),3856050307.166
(1:6),3856050307.166
(1:7),3856050307.166
(2:0),2208988800
(2:1),3856050311.1689997
(2:2),3856050311.1689997
(2:3),3856050311.1689997
(2:4),3856050311.1689997
(2:5),3856050311.17
(2:6),3856050311.17
(2:7),3856050311.17
(3:0),2208988800
(3:1),3856050315.17
(3:2),3856050315.17
(3:3),3856050315.17
(3:4),3856050315.17
(3:5),3856050315.17
(3:6),3856050315.17
(3:7),3856050315.17
(4:0),2208988800
(4:1),3856050319.1730003
(4:2),3856050319.1730003
(4:3),3856050319.1730003
(4:4),3856050319.1730003
(4:5),3856050319.1730003
(4:6),3856050319.1730003
(4:7),3856050319.1730003
(5:0),2208988800
(5:1),3856050323.176
(5:2),3856050323.176
(5:3),3856050323.176
(5:4),3856050323.176
(5:5),3856050323.176
(5:6),3856050323.176
(5:7),3856050323.176
(6:0),2208988800
(6:1),3856050327.1800003
(6:2),3856050327.1800003
(6:3),3856050327.1800003
(6:4),3856050327.1800003
(6:5),3856050327.1800003
(6:6),3856050327.1800003
(6:7),3856050327.1800003
(7:0),2208988800
(7:1),3856050331.183
(7:2),3856050331.183
(7:3),3856050331.183
(7:4),3856050331.183
(7:5),3856050331.183
(7:6),3856050331.183
(7:7),3856050331.183
(8:0),2208988800
(8:1),3856050335.1870003
(8:2),3856050335.1870003
(8:3),3856050335.1870003
(8:4),3856050335.1870003
(8:5),3856050335.1870003
(8:6),3856050335.1870003
(8:7),3856050335.1870003
(9:0),2208988800
(9:1),3856050339.19
(9:2),3856050339.19
(9:3),3856050339.19
(9:4),3856050339.19
(9:5),3856050339.19
(9:6),3856050339.19
(9:7),3856050339.19
