(Burst #:Message #),NTP Timestamp
(0:0),3856044193.592
(0:1),3856044193.6
(0:2),3856044193.594
(0:3),3856044193.593
(0:4),3856044193.592
(0:5),3856044193.59
(0:6),3856044193.593
(0:7),3856044193.6
(10:0),3856046594.432
(10:1),3856046594.4519997
(10:2),3856046594.453
(10:3),3856046594.4519997
(10:4),3856046594.45
(10:5),3856046594.4519997
(10:6),3856046594.451
(10:7),3856046594.451
(11:0),3856046834.534
(11:1),3856046834.533
(11:2),3856046834.533
(11:3),3856046834.534
(11:4),3856046834.532
(11:5),3856046834.533
(11:6),3856046834.539
(11:7),3856046834.533
(12:0),3856047074.635
(12:1),3856047074.634
(12:2),3856047074.6359997
(12:3),3856047074.633
(12:4),3856047074.634
(12:5),3856047074.635
(12:6),3856047074.634
(12:7),3856047074.632
(13:0),3856047314.738
(13:1),3856047314.7390003
(13:2),3856047314.736
(13:3),3856047314.736
(13:4),3856047314.736
(13:5),3856047314.736
(13:6),3856047314.7349997
(13:7),3856047314.7390003
(14:0),3856047554.8389997
(14:1),3856047554.837
(14:2),3856047554.8380003
(14:3),3856047554.836
(14:4),3856047554.837
(14:5),3856047554.8380003
(14:6),3856047554.837
(14:7),3856047554.8380003
(1:0),3856044433.6549997
(1:1),3856044433.656
(1:2),3856044433.653
(1:3),3856044433.6549997
(1:4),3856044433.6540003
(1:5),3856044433.6540003
(1:6),3856044433.656
(1:7),3856044433.657
(2:0),3856044673.744
(2:1),3856044673.741
(2:2),3856044673.742
(2:3),3856044673.743
(2:4),3856044673.744
(2:5),3856044673.743
(2:6),3856044673.742
(2:7),3856044673.745
(3:0),3856044913.744
(3:1),3856044913.743
(3:2),3856044913.748
(3:3),3856044913.749
(3:4),3856044913.75
(3:5),3856044913.75
(3:6),3856044913.748
(3:7),3856044913.749
(4:0),3856045153.844
(4:1),3856045153.841
(4:2),3856045153.8450003
(4:3),3856045153.8459997
(4:4),3856045153.8459997
(4:5),3856045153.843
(4:6),3856045153.843
(4:7),3856045153.844
(5:0),3856045393.941
(5:1),3856045393.9379997
(5:2),3856045393.943
(5:3),3856045393.942
(5:4),3856045393.94
(5:5),3856045393.943
(5:6),3856045393.9440002
(5:7),3856045393.941
(6:0),3856045634.049
(6:1),3856045634.05
(6:2),3856045634.05
(6:3),3856045634.05
(6:4),3856045634.05
(6:5),3856045634.051
(6:6),3856045634.05
(6:7),3856045634.053
(7:0),3856045874.1210003
(7:1),3856045874.1210003
(7:2),3856045874.1219997
(7:3),3856045874.1219997
(7:4),3856045874.1219997
(7:5),3856045874.123
(7:6),3856045874.12
(7:7),3856045874.123
(8:0),3856046114.231
(8:1),3856046114.231
(8:2),3856046114.23
(8:3),3856046114.2279997
(8:4),3856046114.229
(8:5),3856046114.23
(8:6),3856046114.229
(8:7),3856046114.231
(9:0),3856046354.3310003
(9:1),3856046354.33
(9:2),3856046354.332
(9:3),3856046354.333
(9:4),3856046354.333
(9:5),3856046354.3310003
(9:6),3856046354.332
(9:7),3856046354.3310003
