(Burst #:Message #),NTP Timestamp
(0:0),3856044193.634
(0:1),3856044193.633
(0:2),3856044193.633
(0:3),3856044193.635
(0:4),3856044193.634
(0:5),3856044193.627
(0:6),3856044193.635
(0:7),3856044193.632
(10:0),3856046594.4709997
(10:1),3856046594.475
(10:2),3856046594.476
(10:3),3856046594.477
(10:4),3856046594.472
(10:5),3856046594.474
(10:6),3856046594.474
(10:7),3856046594.473
(11:0),3856046834.6070004
(11:1),3856046834.623
(11:2),3856046834.611
(11:3),3856046834.626
(11:4),3856046834.601
(11:5),3856046834.604
(11:6),3856046834.63
(11:7),3856046834.616
(12:0),3856047074.737
(12:1),3856047074.73
(12:2),3856047074.731
(12:3),3856047074.734
(12:4),3856047074.738
(12:5),3856047074.7349997
(12:6),3856047074.74
(12:7),3856047074.729
(13:0),3856047314.774
(13:1),3856047314.776
(13:2),3856047314.75
(13:3),3856047314.7539997
(13:4),3856047314.752
(13:5),3856047314.748
(13:6),3856047314.738
(13:7),3856047314.777
(14:0),3856047554.92
(14:1),3856047554.917
(14:2),3856047554.925
(14:3),3856047554.885
(14:4),3856047554.9230003
(14:5),3856047554.922
(14:6),3856047554.918
(14:7),3856047554.924
(1:0),3856044433.744
(1:1),3856044433.74
(1:2),3856044433.7390003
(1:3),3856044433.742
(1:4),3856044433.743
(1:5),3856044433.741
(1:6),3856044433.741
(1:7),3856044433.744
(2:0),3856044673.88
(2:1),3856044673.87
(2:2),3856044673.88
(2:3),3856044673.881
(2:4),3856044673.882
(2:5),3856044673.88
(2:6),3856044673.881
(2:7),3856044673.882
(3:0),3856044913.8129997
(3:1),3856044913.796
(3:2),3856044913.814
(3:3),3856044913.815
(3:4),3856044913.817
(3:5),3856044913.817
(3:6),3856044913.815
(3:7),3856044913.816
(4:0),3856045153.935
(4:1),3856045153.9309998
(4:2),3856045153.941
(4:3),3856045153.942
(4:4),3856045153.932
(4:5),3856045153.936
(4:6),3856045153.939
(4:7),3856045153.9379997
(5:0),3856045394.19
(5:1),3856045394.1879997
(5:2),3856045394.193
(5:3),3856045394.19
(5:4),3856045394.192
(5:5),3856045394.189
(5:6),3856045394.1940002
(5:7),3856045394.191
(6:0),3856045634.1800003
(6:1),3856045634.19
(6:2),3856045634.185
(6:3),3856045634.189
(6:4),3856045634.1940002
(6:5),3856045634.193
(6:6),3856045634.1940002
(6:7),3856045634.1949997
(7:0),3856045874.201
(7:1),3856045874.2019997
(7:2),3856045874.203
(7:3),3856045874.204
(7:4),3856045874.199
(7:5),3856045874.199
(7:6),3856045874.192
(7:7),3856045874.2
(8:0),3856046114.333
(8:1),3856046114.336
(8:2),3856046114.335
(8:3),3856046114.332
(8:4),3856046114.337
(8:5),3856046114.334
(8:6),3856046114.335
(8:7),3856046114.334
(9:0),3856046354.358
(9:1),3856046354.354
(9:2),3856046354.3570004
(9:3),3856046354.356
(9:4),3856046354.356
(9:5),3856046354.355
(9:6),3856046354.359
(9:7),3856046354.3599997
