(Burst #:Message #),NTP Timestamp
(0:0),3856050176.6800003
(0:1),3856050176.682
(0:2),3856050176.682
(0:3),3856050176.683
(0:4),3856050176.683
(0:5),3856050176.684
(0:6),3856050176.684
(0:7),3856050176.685
(10:0),3856050216.21
(10:1),3856050216.21
(10:2),3856050216.211
(10:3),3856050216.211
(10:4),3856050216.211
(10:5),3856050216.212
(10:6),3856050216.212
(10:7),3856050216.212
(11:0),3856050220.218
(11:1),3856050220.218
(11:2),3856050220.219
(11:3),3856050220.219
(11:4),3856050220.2200003
(11:5),3856050220.2200003
(11:6),3856050220.2209997
(11:7),3856050220.2209997
(12:0),3856050224.315
(12:1),3856050224.316
(12:2),3856050224.316
(12:3),3856050224.317
(12:4),3856050224.318
(12:5),3856050224.318
(12:6),3856050224.3190002
(12:7),3856050224.3190002
(13:0),3856050228.225
(13:1),3856050228.226
(13:2),3856050228.2279997
(13:3),3856050228.229
(13:4),3856050228.23
(13:5),3856050228.23
(13:6),3856050228.231
(13:7),3856050228.231
(14:0),3856050232.303
(14:1),3856050232.303
(14:2),3856050232.304
(14:3),3856050232.304
(14:4),3856050232.304
(14:5),3856050232.3050003
(14:6),3856050232.3050003
(14:7),3856050232.3059998
(1:0),3856050180.185
(1:1),3856050180.186
(1:2),3856050180.1870003
(1:3),3856050180.1879997
(1:4),3856050180.1879997
(1:5),3856050180.189
(1:6),3856050180.189
(1:7),3856050180.19
(2:0),3856050184.277
(2:1),3856050184.277
(2:2),3856050184.278
(2:3),3856050184.278
(2:4),3856050184.2790003
(2:5),3856050184.2790003
(2:6),3856050184.2799997
(2:7),3856050184.2799997
(3:0),3856050188.27
(3:1),3856050188.271
(3:2),3856050188.271
(3:3),3856050188.2720003
(3:4),3856050188.2720003
(3:5),3856050188.273
(3:6),3856050188.273
(3:7),3856050188.274
(4:0),3856050192.263
(4:1),3856050192.264
(4:2),3856050192.2650003
(4:3),3856050192.2650003
(4:4),3856050192.266
(4:5),3856050192.266
(4:6),3856050192.267
(4:7),3856050192.267
(5:0),3856050196.257
(5:1),3856050196.257
(5:2),3856050196.258
(5:3),3856050196.258
(5:4),3856050196.259
(5:5),3856050196.259
(5:6),3856050196.26
(5:7),3856050196.26
(6:0),3856050200.2869997
(6:1),3856050200.288
(6:2),3856050200.289
(6:3),3856050200.291
(6:4),3856050200.291
(6:5),3856050200.292
(6:6),3856050200.292
(6:7),3856050200.293
(7:0),3856050204.244
(7:1),3856050204.245
(7:2),3856050204.2469997
(7:3),3856050204.2469997
(7:4),3856050204.248
(7:5),3856050204.248
(7:6),3856050204.249
(7:7),3856050204.249
(8:0),3856050208.238
(8:1),3856050208.2390003
(8:2),3856050208.24
(8:3),3856050208.24
(8:4),3856050208.241
(8:5),3856050208.241
(8:6),3856050208.262
(8:7),3856050208.262
(9:0),3856050212.209
(9:1),3856050212.21
(9:2),3856050212.21
(9:3),3856050212.211
(9:4),3856050212.211
(9:5),3856050212.212
(9:6),3856050212.212
(9:7),3856050212.2130003
