(Burst #:Message #),NTP Timestamp
(0:0),3856050303.587
(0:1),3856050303.592
(0:2),3856050303.592
(0:3),3856050303.593
(0:4),3856050303.792
(0:5),3856050303.793
(0:6),3856050303.793
(0:7),3856050303.7939997
(10:0),3856050343.424
(10:1),3856050343.424
(10:2),3856050343.425
(10:3),3856050343.425
(10:4),3856050343.63
(10:5),3856050343.627
(10:6),3856050343.632
(10:7),3856050343.635
(11:0),3856050347.415
(11:1),3856050347.414
(11:2),3856050347.625
(11:3),3856050347.626
(11:4),3856050347.627
(11:5),3856050347.627
(11:6),3856050347.7279997
(11:7),3856050347.727
(12:0),3856050351.514
(12:1),3856050351.519
(12:2),3856050351.7139997
(12:3),3856050351.717
(12:4),3856050351.718
(12:5),3856050351.719
(12:6),3856050351.734
(12:7),3856050351.733
(13:0),3856050355.505
(13:1),3856050355.5039997
(13:2),3856050355.506
(13:3),3856050355.507
(13:4),3856050355.709
(13:5),3856050355.708
(13:6),3856050355.913
(13:7),3856050355.914
(14:0),3856050359.396
(14:1),3856050359.395
(14:2),3856050359.599
(14:3),3856050359.6
(14:4),3856050359.601
(14:5),3856050359.602
(14:6),3856050359.703
(14:7),3856050359.7019997
(1:0),3856050307.4779997
(1:1),3856050307.479
(1:2),3856050307.48
(1:3),3856050307.48
(1:4),3856050307.889
(1:5),3856050307.888
(1:6),3856050307.8900003
(1:7),3856050307.8900003
(2:0),3856050311.7799997
(2:1),3856050311.7799997
(2:2),3856050311.781
(2:3),3856050311.781
(2:4),3856050311.782
(2:5),3856050311.782
(2:6),3856050311.783
(2:7),3856050311.783
(3:0),3856050315.5880003
(3:1),3856050315.5880003
(3:2),3856050315.8900003
(3:3),3856050315.8900003
(3:4),3856050315.891
(3:5),3856050315.891
(3:6),3856050315.891
(3:7),3856050315.892
(4:0),3856050319.377
(4:1),3856050319.376
(4:2),3856050319.579
(4:3),3856050319.578
(4:4),3856050319.58
(4:5),3856050319.58
(4:6),3856050319.58
(4:7),3856050319.788
(5:0),3856050323.4630003
(5:1),3856050323.467
(5:2),3856050323.468
(5:3),3856050323.468
(5:4),3856050323.469
(5:5),3856050323.4700003
(5:6),3856050323.4709997
(5:7),3856050323.4709997
(6:0),3856050327.549
(6:1),3856050327.5480003
(6:2),3856050327.549
(6:3),3856050327.55
(6:4),3856050327.55
(6:5),3856050327.551
(6:6),3856050327.551
(6:7),3856050327.552
(7:0),3856050331.3640003
(7:1),3856050331.3640003
(7:2),3856050331.645
(7:3),3856050331.644
(7:4),3856050331.646
(7:5),3856050331.6470003
(7:6),3856050331.648
(7:7),3856050331.648
(8:0),3856050335.638
(8:1),3856050335.639
(8:2),3856050335.639
(8:3),3856050335.6400003
(8:4),3856050335.641
(8:5),3856050335.642
(8:6),3856050335.642
(8:7),3856050335.6429996
(9:0),3856050339.4309998
(9:1),3856050339.427
(9:2),3856050339.432
(9:3),3856050339.432
(9:4),3856050339.5290003
(9:5),3856050339.532
(9:6),3856050339.54
(9:7),3856050339.5360003
